group,cbr_target,band,criterion,criterion_value,best_varied_value,best_p_keep,best_eta,aoi_mean_ms,paoi_p95_ms,vth_200ms,clr_broad,cbr_p50_actual,cbr_p95_actual
G1,50,0_250m,min_E[AoI],8040,mu2,0.0,1.00,8040,50.00,0.6148,0.0003,0.472,0.495
G1,50,0_250m,min_PAoI_p95,50.0000,mu2,0.0,1.00,8040,50.00,0.6148,0.0003,0.472,0.495
G1,50,0_250m,min_V(A_th=200ms),0.6148,mu2,0.0,1.00,8040,50.00,0.6148,0.0003,0.472,0.495
G1,50,0_250m,min_CLR_broad,0.0003,mu2,0.0,1.00,8040,50.00,0.6148,0.0003,0.472,0.495
G1,50,250_500m,min_E[AoI],8122,mu2,0.8,5.00,8122,50.00,0.5979,0.0118,0.502,0.527
G1,50,250_500m,min_PAoI_p95,50.0000,mu2,0.0,1.00,8128,50.00,0.5977,0.0118,0.472,0.495
G1,50,250_500m,min_V(A_th=200ms),0.5977,mu2,0.0,1.00,8128,50.00,0.5977,0.0118,0.472,0.495
G1,50,250_500m,min_CLR_broad,0.0118,mu2,0.0,1.00,8128,50.00,0.5977,0.0118,0.472,0.495
G1,95,0_250m,min_E[AoI],7356,mu2,0.4,1.67,7356,30.00,0.5876,0.0003,0.917,0.943
G1,95,0_250m,min_PAoI_p95,30.0000,mu2,0.4,1.67,7356,30.00,0.5876,0.0003,0.917,0.943
G1,95,0_250m,min_V(A_th=200ms),0.5876,mu2,0.4,1.67,7356,30.00,0.5876,0.0003,0.917,0.943
G1,95,0_250m,min_CLR_broad,0.0003,mu2,0.8,5.00,8113,30.00,0.6099,0.0003,0.910,0.940
G1,95,250_500m,min_E[AoI],7600,mu2,0.4,1.67,7600,30.00,0.5946,0.0116,0.917,0.943
G1,95,250_500m,min_PAoI_p95,30.0000,mu2,0.4,1.67,7600,30.00,0.5946,0.0116,0.917,0.943
G1,95,250_500m,min_V(A_th=200ms),0.5778,mu2,0.8,5.00,7658,30.00,0.5778,0.0116,0.910,0.940
G1,95,250_500m,min_CLR_broad,0.0116,mu2,0.4,1.67,7600,30.00,0.5946,0.0116,0.917,0.943
